Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,20.750000,20.860001,20.299999,20.437500,19.928045,10495200
2019-04-16,20.400000,20.716200,20.200001,20.337500,20.196428,5982400
2019-04-17,20.445000,20.592501,19.815001,19.977501,19.838928,9846400
2019-04-18,20.097500,21.408800,20.043800,21.350000,21.201906,11004000
2019-04-22,21.238800,21.267500,20.763800,20.900000,20.755030,3480000
2019-04-23,21.001200,21.430000,21.000000,21.375000,21.226734,4169600
2019-04-24,21.333700,21.622499,21.062500,21.557501,21.407967,6500000
2019-04-25,21.377501,21.875000,21.257500,21.875000,21.723267,6195200
2019-04-26,22.000000,22.493700,21.917500,22.368700,22.213539,9252800
2019-04-29,22.375000,22.500000,22.160000,22.313700,22.158922,4112000
2019-04-30,22.950001,23.907499,22.875000,23.907499,23.741667,17158400
2019-05-02,23.596300,24.068800,23.487499,23.842501,23.677118,10839200
2019-05-03,23.875000,24.875000,23.875000,24.531200,24.361040,9619200
2019-05-06,24.375000,25.120001,24.253700,25.026300,24.852707,12308000
2019-05-07,25.187500,25.288700,23.910000,24.018700,23.852095,13714400
2019-05-08,24.012501,24.437500,24.012501,24.187500,24.019726,7266400
2019-05-09,24.107500,24.107500,23.237499,23.237499,23.076313,8647200
2019-05-10,23.378700,23.590000,22.632500,23.312500,23.150793,7074400
2019-05-13,23.062500,23.156200,22.500000,22.502501,22.346413,7481600
2019-05-14,22.876200,23.125000,22.250000,22.281200,22.126650,8171200
2019-05-15,22.030001,22.030001,21.462500,21.625000,21.475000,11907200
2019-05-16,21.525000,21.602501,20.846300,20.875000,20.730202,14228000
2019-05-17,20.633801,21.602501,20.633801,21.102501,20.956123,8486400
2019-05-20,21.247499,21.900000,21.151300,21.625000,21.475000,8236000
2019-05-21,21.985001,22.711300,21.951300,22.426300,22.270742,9324800
2019-05-22,22.625000,23.023800,22.250000,22.531200,22.374914,8910400
2019-05-23,22.212500,22.786200,21.889999,22.556200,22.399740,8334400
2019-05-24,22.811300,22.940001,22.000000,22.106300,21.952961,6477600
2019-05-27,22.625000,22.750000,22.250000,22.250000,22.095665,3925600
2019-05-28,22.537500,23.625000,22.516300,23.625000,23.461126,16532000
2019-05-29,23.787500,24.424999,23.388800,23.658800,23.494692,11330400
2019-05-30,23.750000,24.299999,23.702499,24.111200,23.943954,7245600
2019-05-31,24.000000,24.500000,23.956200,24.500000,24.330057,6778400
2019-06-03,24.625000,24.850000,24.188700,24.342501,24.173651,6673600
2019-06-04,24.750000,24.873800,24.000000,24.315001,24.146341,6555200
2019-06-05,24.500000,24.650000,23.503700,23.898800,23.733027,10168800
2019-06-06,24.250000,24.250000,23.512501,23.751200,23.586451,5515200
2019-06-07,23.846300,24.806200,23.816200,24.806200,24.634134,7880000
2019-06-10,24.816200,25.549999,24.562500,25.312500,25.136921,9398400
2019-06-11,25.500000,26.187500,25.456200,25.898800,25.719154,9048800
2019-06-12,25.750000,25.767500,25.125000,25.389999,25.213882,10652800
2019-06-13,25.750000,26.278700,25.686300,26.201300,26.019556,10310400
2019-06-14,26.123800,26.875000,25.674999,26.446301,26.262857,11859200
2019-06-17,26.512501,26.998800,25.852501,25.937500,25.757587,11027200
2019-06-18,26.325001,26.573700,25.878700,26.012501,25.832066,8856000
2019-06-19,25.875000,26.375000,25.636200,26.250000,26.067917,20810400
2019-06-21,26.375000,26.747499,26.358700,26.581200,26.396820,9934400
2019-06-24,26.520000,26.737499,26.077499,26.247499,26.065435,6773600
2019-06-25,26.125000,26.373800,25.812500,25.813700,25.634645,8350400
2019-06-26,26.000000,26.257500,25.875000,26.056200,25.875462,5710400
2019-06-27,26.036200,26.186300,25.683800,26.081200,25.900288,5954400
2019-06-28,26.174999,26.389999,25.923700,26.389999,26.206945,8115200
2019-07-01,26.500000,26.700001,26.146200,26.275000,26.092743,5714400
2019-07-02,26.343800,26.562500,26.125000,26.557501,26.373287,5688800
2019-07-03,26.478800,27.608700,26.405001,27.606300,27.414810,10816800
2019-07-04,27.827499,28.000000,27.637501,27.637501,27.445795,9079200
2019-07-05,27.750000,28.521200,27.557501,28.260000,28.063976,7875200
2019-07-08,28.261200,28.900000,28.150000,28.674999,28.476095,7542400
2019-07-10,28.906200,29.486200,28.906200,29.187500,28.985043,8953600
2019-07-11,29.475000,29.475000,28.643700,28.846300,28.646208,8629600
2019-07-12,29.375000,30.045000,29.000000,29.006300,28.805099,15444000
2019-07-15,29.375000,29.423700,28.753700,28.831200,28.631212,7490400
2019-07-16,28.981300,29.273800,28.931200,29.250000,29.047110,5578400
2019-07-17,29.637501,31.367500,29.637501,30.548700,30.336800,20922400
2019-07-18,30.938700,31.306200,30.638800,30.875000,30.660839,9964800
2019-07-19,31.125000,31.174999,29.756300,29.756300,29.549896,12112000
2019-07-22,30.125000,30.933800,29.875000,30.918800,30.704332,11978400
2019-07-23,31.127501,31.197500,30.168800,30.250000,30.040173,9096800
2019-07-24,30.375000,31.137501,30.375000,30.726200,30.513069,6944800
2019-07-25,30.962500,31.032499,30.266300,30.559999,30.348022,8982400
2019-07-26,30.777500,31.725000,30.612499,31.500000,31.281504,9471200
2019-07-29,31.500000,33.055000,31.331200,32.974998,32.746269,11562400
2019-07-30,32.974998,33.930000,32.877499,33.068699,32.839321,14125600
2019-07-31,33.487499,33.750000,32.542500,32.965000,32.736340,12604800
2019-08-01,33.687500,34.904999,33.537498,34.562500,34.322758,19848800
2019-08-02,35.075001,35.598801,34.687500,35.443699,35.197849,11416800
2019-08-05,35.250000,35.250000,34.413700,34.500000,34.260689,14879200
2019-08-06,35.590000,37.060001,35.529999,36.599998,36.346127,17456100
2019-08-07,36.900002,36.900002,35.240002,36.310001,36.058140,11607900
2019-08-08,36.700001,37.340000,36.549999,37.139999,36.882381,9756600
2019-08-09,37.150002,38.660000,37.139999,37.779999,37.517941,12072100
2019-08-12,37.770000,37.770000,35.970001,36.419998,36.167374,9684700
2019-08-13,37.599998,38.299999,37.419998,37.849998,37.587456,16111100
2019-08-14,37.369999,38.250000,36.580002,36.950001,36.693703,13248900
2019-08-15,37.500000,38.029999,36.110001,36.310001,36.058140,10076700
2019-08-16,37.590000,37.849998,36.400002,37.560001,37.299469,8958600
2019-08-19,38.070000,38.200001,37.299999,37.830002,37.567596,5789500
2019-08-20,37.650002,37.680000,36.209999,36.529999,36.276611,10335600
2019-08-21,36.770000,37.220001,36.540001,36.540001,36.286545,6381100
2019-08-22,36.700001,36.900002,34.279999,34.430000,34.191177,13206600
2019-08-23,33.650002,34.980000,32.980000,33.779999,33.545681,16599800
2019-08-26,34.849998,35.000000,33.250000,33.700001,33.466240,9653400
2019-08-27,34.259998,34.930000,33.820000,34.209999,33.972702,13015100
2019-08-28,34.009998,34.980000,33.500000,34.910000,34.667847,11048900
2019-08-29,35.590000,37.259998,35.349998,37.259998,37.001549,13966500
2019-08-30,37.599998,37.930000,35.910000,36.290001,36.038280,11111400
2019-09-02,36.500000,36.939999,36.080002,36.610001,36.356060,6832200
2019-09-03,36.279999,37.380001,35.779999,35.880001,35.631123,7398000
2019-09-04,36.660000,37.200001,36.349998,37.200001,36.941967,7856200
